No,Pengguna,Rating,Tanggal,Isi Ulasan,Ground Truth,Prediksi Naive Bayes,Prediksi Gemma 3 LLM,Kategori Isu (LLM),Alasan Penalaran AI,Beda Pendapat ML vs LLM
1547,koesnadi adyeja Adi,1,2026-09-01,"halo INI KENAPA SAYA DAFTRA KLINIK DI YA RAHMA, PAS AUPDET JADI DI KLINIK WIJAYA ...??????????ADA APA DENGN APLIKASI INI HALO TOKOLNGI JAWAB ....??? Waktu MENGISI Pemindahan klinik MATA SAYA MASIH NORMAL PAHAM",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1548,Litter X5,4,2026-09-01,"sering error tiba-tiba, keluar device yang berbeda katanya. Pas udah ambil antrean eh besoknya dibatalin, gimana ini? Tolong sekali, tolong yaaaa. Iya tahu pake bpjs, tapi kami juga kan niatnya mau berobat mas mbak, tolong diperbaiki lagi yaaa aplikasinya, terimakasih 🙇🏻‍♀️",Negatif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 4: Ulasan berisi keluhan keras terkait masalah teknis & bug ('sering error tiba-tiba, keluar device yang be...'), terdeteksi sentimen negatif tersirat.",false
1549,Eddy Rumbayan,5,2026-09-01,saya baru mau mendaftar di aplikasi mobile Jkn,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1550,sri Sulastri,1,2026-09-01,bagus sekali,Positif,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,true
1551,Nurhayati bee,5,2026-09-01,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1552,Junaidi Abdullah,5,2026-09-01,sangat membenatu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1553,Fajar Fahji,1,2026-09-01,Sering bermasalah dan susah akses,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1554,Reza Utami,5,2026-09-01,💗,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1555,Aep Mikrotik,1,2026-09-01,eror mulu,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1556,Devi Handayani,5,2026-09-01,bagus sangat ngebantu banget,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1557,NR walet,3,2026-08-31,"aplikasi bagus tapi untuk kirim kode OTP nya yang susah lewat SMS, coba di permudah kirim OTP nya lewat WhatsApp saja. dulu mudah untuk verifikasi kirim OTP lewat SMS, sekarang sulit.",Positif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1558,Fiqri cakep,5,2026-08-31,membantu sekali,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1559,Azwin Awin,5,2026-08-31,enak difahami,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1560,Marlo Gantika,1,2026-08-31,"perubahan faskes bisa setelah 3 bulan, di coba setelah 3 bulan berlakunya bulan depannya. Itu namanya bisa berubah faskes setelah 4 bulan",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
1561,Deds Bagia,5,2026-08-31,keren banget amanah,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1562,ILFA ALIFA MUKMINA 18,2,2026-08-31,"sedikit"" harus verifikasi nomor dan nomor Smartfren tidak bisa sama sekali alasannya ada kendala terus, bukan malah memudahhkan tpi malalh mempersulit. terkadang juga tidak terhubung sama server rs, harus segera diperbaiki sii biar g bikin pusing",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1563,Listiani Agestina,5,2026-08-31,Offer all mempermudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1564,rozani qurrotulaini,5,2026-08-31,pelayanan mobil JKN semakin inovatif,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1565,Pembela,2,2026-08-31,"kenapa walaupun buka tapi pas diklik malah sudah ditutup? padahal masih sisa banyak, saya sering ga kebagian apalagi poli gigi, emang disengaja atau gimana? kalau bug kenapa ga dibenerin dari lama",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
1566,Fena melinda Septiani,1,2026-08-31,"Login hanya untuk 3 nik, tolong update untuk bisa masuk ke banyak akun jangan hanya max 3 nik",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1567,anugrah tv,1,2026-08-31,aplikasi pemerintah ga bisa vermuk apa ga jelas knapa bikin aplikasi kalau bermasalah,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1568,Retno Aji,5,2026-08-31,good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1569,da ho,1,2026-08-31,"Kenapa dengan aplikasi ini,tidak bisa ngambil nomor antrean,padahal saya butuh sekali untuk daftar hari ini,tolong di perbaiki",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
1570,Agam Damara,5,2026-08-31,sangat membantu sekali,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1571,Raja Wali,5,2026-08-31,oke banget mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1572,Dwanda firdaus,1,2026-08-31,"hari ini mau ambil nomor antrian aku bela2in alarm dini hari. eh ternyata gabisa padahal udah bener semua😓 jaringan jg aman, sampe ku install uninstall aplikasi loh gmn ini",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1573,Imroatush Sholihah,1,2026-08-31,"mau login susah banget ampunnn, diperbaiki dong aplikasinya. Udah coba berulang kali gagal Mulu gimana sih",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1574,Jemi Mardiana,4,2026-08-31,"sangat dibutuhkan masyarakat,tetapi sering gangguan,kenapa sich !",Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1575,Harmini Rini,1,2026-08-31,tolong segera lakukan pemeliharaan karena aplikasinya tidak bisa berjalan normal saya mau login tpi tidak bisa sma skali dikarenakan aplikadinya yg lemot harusnya ini menjadi perhatian pemerintah untuk diperbaiki,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1576,Desi,1,2026-08-31,sdah seharian buat daftar gak bisa .. gimana mau berobat sedangkan kalo mau brobat harus daftar lewat aplikasi ini 😏😏..,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1577,Siska 14s,1,2026-08-31,"duh tolong ya diperbaiki lagi aplikasinya, masa mau login, mau daftar ataupun mau ambil antria gak bisa muter2 terus dan berakhir ngehang. orang lagi butuh bt priksa tapi aplikasi nya eror lama bgt.. trs gmn ni mau pake BPJS nya jadi terhalang to, percuma suruh bayar tepat waktu tapi pas mau dipakai aplikasi nya eror gaje gini, giliran bayar telat dinotif suruh cepet2 bayar",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1578,Noval Trianto,1,2026-08-31,"error mulu offline terus sering lag , gunta ganti jarijgan sama aja. servernya selalu down",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1579,Miller Kastanya,1,2026-08-31,"aplikasi rusak!! tolong dibenerin ini kaga bisa login padahal sinyal normal tapi gak bisa login. padahal sebelumnya ga pernah logout kok tiba"" disuruh login lagi. mana ga bisa lagi error mulu",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1580,Diana Lavezhie,1,2026-08-31,"Apk gak berguna, dikit-dikit eror, dikit-dikit eror terus.... tolong di perbaiki",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1581,Aldila Ramdhani,3,2026-08-31,"permasalahannya itu itu aja, selalu bug loading lama, permintaan belum dapat diproses, offline, padahal sinyal internet kenceng. cukup meresahkan terutama saat keadaan urgent.",Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1582,Agus Itenk,1,2026-08-31,"giliran mau di perlukan,,gagal terus. coba lagi terusss 😡",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1583,Ziaulhaq Mahfud,1,2026-08-31,"aplikasi gak bener hape gak diroot terdeteksinya root sering eror sendiri tulisan offline padahal sinyal ada KALO ADA DANA BUAT APLIKASI YA 100% ALL IN kan APLIKASI, ALOKASI DANA YANG BENER BIAR APLIKASINYA FUNGSI.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1584,Uncle R'D,1,2026-08-31,Kebanyakan maintenance.. Biasa keluar sendiri akun JKNnya tanpa di kasih keluar,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1585,Tika rahayu,2,2026-08-31,kadang lemot eror gk bisa di pakai,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1586,Dimas Tri utami,1,2026-08-31,Disuruh dafar lewat sini tapi giliran dafatr buat masuk login aja susah banget,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1587,Fincent Gunawan,1,2026-08-31,parah setiap akhir bulan tidak bisa di access dengan alasan perbaikan sistem...perbaikan atau sengaja dimatikan servernya,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1588,Megawati Manalu,5,2026-08-31,"bagus,",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1589,Fahri Saputra,1,2026-08-31,buruk sekali saya bayar tiap bulan giliran di butuh kan ga bisa masuk akun Ter logout,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1590,Fitria _95,1,2026-08-31,"tolong ini aplikasi tidak bisa di update, di cari di google play malah tulisan nya ""aplikasi tidak kompatibel dengan perangkat anda"" dan sering banget terjadi eror, mau ambil antrean selalu eror, ampun dah ini aplikasi negeri indonesia tercinta semua di persulit untuk rakyat nya",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1591,Lala Nabilla,1,2026-08-31,eror mulu setiap ambil antrian,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1592,Suwasno Wasno,4,2026-08-31,luar biasa,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1593,Jimmy Tola,1,2026-08-31,"aplikasi yang mengancam keselamata, mau berobat karna sakit malah error kesalahan sambungan mana pilihan dokternya kadang hilang harus refresh lama giliran muncul malah sudah penuh padahal pendaftar masih kosong, mana syaratnya harus ambil antrian lagi hapus aja aplikasinya, buat server yang bagus biar kecepatan aksesnya lebih bagus",Positif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1594,Muhammad Iqbal,3,2026-08-31,Apakah aplikasi ini memang dibuat tidak beroperasi 24 jam? dengan signal 5G aplikasi eror ketika dibuka tengah malam. Belum lagi sistem rujukan yang justru menyulitkan karena hanya berlaku tiga bulan terbatas. Mohon ditingkatkan lagi untuk pengalaman pengguna yang lebih baik,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1595,Riezky Aditya,1,2026-08-31,jelek sekarang apkny di bikin susah setiap mau daftar harus vertifikasi terus kalau lama ga di buka keluar sendiri kecewa banget,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1596,Aliqucey,5,2026-08-31,"fitur fitunya udh bagus banget, kadang suka eror jaringan mulu",Positif,Positif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('fitur fitunya udh bagus banget, kadang suka e...'), terdeteksi sentimen negatif tersirat.",true
1597,Maulana Lana,1,2026-08-31,eror mulu setiap mau masuk payah,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1598,siti hatijah,1,2026-08-31,kenapa sering eror sih buat daftar aja susah harus nunggu dulu padahal sebelumnya juga masih aman kenapa sekarang jadi susah,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1599,Tofa Tika,1,2026-08-31,begini klo daftarnya wajib akses pake aplikasi sekarang mau daftar eror mulu,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1600,Feni Azriani,1,2026-08-31,"Tolong aplikasinya diperbaiki, setiap mau ambil antrian online loading nya lama dan tulisannya selalu offline padahal jaringan wifi bagus. mau daftar aja susah sampe ngga jadi ke rumah sakit karna ngga ambil antrian online. rekrut lah tim IT yang bener biar aplikasinya lebih ringan",Positif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1601,Marda liya. H,3,2026-08-31,"buruk banget, setiap mau masuk aja susah masa harus pake paket data baru bisa. makin ke sini aplikasinya gak bagus banget bukan memudahkan malah bikin ribet tolong dong di perbaikin",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1602,Wasis 22,1,2026-08-31,sangat buruk sekali . tidak ada perubahan,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1603,Star Sindrom,2,2026-08-31,"kenapa keluar sendiri dan skr kagak bisa masuk lagi pdhl password bnr, error Mulu dh, mana bsk mu di pake berobat poli",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1604,Aswin khosinda Rifqi Malestra,1,2026-08-31,ribet banget asli aplikasi bagus tetapi ribet saat login Tolong di benarkan lagi aplikasi aneh mau login aja dipersulit mau padahal mau ambil anterin,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1605,dani deny,5,2026-08-31,aplikasi nya susah di gunakan,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1606,Ikmal Hakim Ikmal,2,2026-08-31,susah masuk karna ada kode captcha,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1607,Dewi Larasati,1,2026-08-31,"buruk bgt ini ga bisa masuk aku aplikasi nya dari tadi. tolong lah diperbaiki. captcha salah terus padahal aku dah masukin sesuai lo. Kenapa ketika masuk Mobile JKN tidak bisa. Sudah memasukkan NIK dan sandi yang betul tapi tidak bisa. Masalah ada di captcha. Ketika saya coba lupa kata sandi juga sama, masalah di captcha. Terus ada pemberitahuan Offline, padahal sinyal ada pake wifi dan data tetap tidak bisa. Tolong lah, jangan dipersulit.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1608,Radi yanto,1,2026-08-31,tidak bisa buka aplikasi JKN..makin sulit aja,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1609,Indihome Tulul,1,2026-08-31,"SERING ERRORR!!! GK NIAT BIKIN APLIKASI KESEHATAN, MENDING GK USH!!!",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1610,Dani Nopian,5,2026-08-31,Sya sudah terdaftar di regertasi...pas mau brosing n mau masukan id bpjs sama email saya...selalu gagal dgan tulisan mobile jkn terhenti...kasi solusinya dongk,Positif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('Sya sudah terdaftar di regertasi...pas mau br...'), terdeteksi sentimen negatif tersirat.",false
1611,Lala Sapira,1,2026-08-31,aplikasi payah selalu eror padahal jaringan full bukan nya membantu malah mempersulit pas mau login maupun daftar selalu eror asli bikin darah naik,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1612,I Wayan Widya Pratama,1,2026-08-31,"sedang diperlukan mendesak, bisa-bisanya aplikasi ini malah error. 😭",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1613,Yama Pradhana Sumbodo,1,2026-08-31,Eror teruuuuussss... Ga bisa daftar ke faskes 1,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1614,Ahmad Baehaqi,2,2026-08-31,padahal jaringan uda lancar masi aja ngeleg,Positif,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,true
